"sku","display_name","short_description","categories","length","stainlesssteel","diameter","outsidediam","minod","maxod","weight","price","tier_price:_all_","type","visibility","configurable_attributes","bundle_options","bundle_skus","url_key"
"304b0005xrnd-3ft","304B0005XRND","304 Stainless Steel 0.005 OD Wire - 3 Foot Length","Wire Bar","3 FT","304","0.005","0.005","0.0048","0.0052","0.01","14","8:11;34:8.75","simple","1","","","",""
"304b0005xrnd-6ft","304B0005XRND","304 Stainless Steel 0.005 OD Wire - 6 Foot Length","Wire Bar","6 FT","304","0.005","0.005","0.0048","0.0052","0.006595348","24","4:19;17:15.5","simple","1","","","",""
"304b0006xrnd-3ft","304B0006XRND","304 Stainless Steel 0.006 OD Wire - 3 Foot Length","Wire Bar","3 FT","304","0.006","0.006","0.0058","0.0062","0.01","14","8:11;34:8.75","simple","1","","","",""
"304b0006xrnd-6ft","304B0006XRND","304 Stainless Steel 0.006 OD Wire - 6 Foot Length","Wire Bar","6 FT","304","0.006","0.006","0.0058","0.0062","0.009497301","24","4:19;17:15.5","simple","1","","","",""
"304b0007xrnd-3ft","304B0007XRND","304 Stainless Steel 0.007 OD Wire - 3 Foot Length","Wire Bar","3 FT","304","0.007","0.007","0.0068","0.0072","0.01","14","8:11;34:8.75","simple","1","","","",""
"304b0007xrnd-6ft","304B0007XRND","304 Stainless Steel 0.007 OD Wire - 6 Foot Length","Wire Bar","6 FT","304","0.007","0.007","0.0068","0.0072","0.012926881","24","4:19;17:15.5","simple","1","","","",""
"304b0008xrnd-3ft","304B0008XRND","304 Stainless Steel 0.008 OD Wire - 3 Foot Length","Wire Bar","3 FT","304","0.008","0.008","0.0078","0.0082","0.01688409","14","8:11;34:8.75","simple","1","","","",""
"304b0008xrnd-6ft","304B0008XRND","304 Stainless Steel 0.008 OD Wire - 6 Foot Length","Wire Bar","6 FT","304","0.008","0.008","0.0078","0.0082","0.01688409","24","4:19;17:15.5","simple","1","","","",""
"304b0009xrnd-3ft","304B0009XRND","304 Stainless Steel 0.009 OD Wire - 3 Foot Length","Wire Bar","3 FT","304","0.009","0.009","0.0088","0.0092","0.021368927","14","8:11;34:8.75","simple","1","","","",""
"304b0009xrnd-6ft","304B0009XRND","304 Stainless Steel 0.009 OD Wire - 6 Foot Length","Wire Bar","6 FT","304","0.009","0.009","0.0088","0.0092","0.021368927","24","4:19;17:15.5","simple","1","","","",""
"304b0010xrnd-3ft","304B0010XRND","304 Stainless Steel 0.01 OD Wire - 3 Foot Length","Wire Bar","3 FT","304","0.01","0.01","0.0098","0.0102","0.026381391","14","8:11;34:8.75","simple","1","","","",""
"304b0010xrnd-6ft","304B0010XRND","304 Stainless Steel 0.01 OD Wire - 6 Foot Length","Wire Bar","6 FT","304","0.01","0.01","0.0098","0.0102","0.026381391","24","4:19;17:15.5","simple","1","","","",""
"304b0011xrnd-3ft","304B0011XRND","304 Stainless Steel 0.011 OD Wire - 3 Foot Length","Wire Bar","3 FT","304","0.011","0.011","0.0108","0.0112","0.031921483","14","8:11;34:8.75","simple","1","","","",""
"304b0011xrnd-6ft","304B0011XRND","304 Stainless Steel 0.011 OD Wire - 6 Foot Length","Wire Bar","6 FT","304","0.011","0.011","0.0108","0.0112","0.031921483","24","4:19;17:15.5","simple","1","","","",""
"304b0012xrnd-3ft","304B0012XRND","304 Stainless Steel 0.012 OD Wire - 3 Foot Length","Wire Bar","3 FT","304","0.012","0.012","0.0118","0.0122","0.04","14","8:11;34:8.75","simple","1","","","",""
"304b0012xrnd-6ft","304B0012XRND","304 Stainless Steel 0.012 OD Wire - 6 Foot Length","Wire Bar","6 FT","304","0.012","0.012","0.0118","0.0122","0.037989203","24","4:19;17:15.5","simple","1","","","",""
"304b0013xrnd-3ft","304B0013XRND","304 Stainless Steel 0.013 OD Wire - 3 Foot Length","Wire Bar","3 FT","304","0.013","0.013","0.0128","0.0132","0.04458455","14","8:11;34:8.75","simple","1","","","",""
"304b0013xrnd-6ft","304B0013XRND","304 Stainless Steel 0.013 OD Wire - 6 Foot Length","Wire Bar","6 FT","304","0.013","0.013","0.0128","0.0132","0.04458455","24","4:19;17:15.5","simple","1","","","",""
"304b0014xrnd-3ft","304B0014XRND","304 Stainless Steel 0.014 OD Wire - 3 Foot Length","Wire Bar","3 FT","304","0.014","0.014","0.0138","0.0142","0.051707526","14","8:11;34:8.75","simple","1","","","",""
"304b0014xrnd-6ft","304B0014XRND","304 Stainless Steel 0.014 OD Wire - 6 Foot Length","Wire Bar","6 FT","304","0.014","0.014","0.0138","0.0142","0.051707526","24","4:19;17:15.5","simple","1","","","",""
"304b0015xrnd-3ft","304B0015XRND","304 Stainless Steel 0.015 OD Wire - 3 Foot Length","Wire Bar","3 FT","304","0.015","0.015","0.0148","0.0152","0.059358129","14","8:11;34:8.75","simple","1","","","",""
"304b0015xrnd-6ft","304B0015XRND","304 Stainless Steel 0.015 OD Wire - 6 Foot Length","Wire Bar","6 FT","304","0.015","0.015","0.0148","0.0152","0.059358129","24","4:19;17:15.5","simple","1","","","",""
"304b0016xrnd-3ft","304B0016XRND","304 Stainless Steel 0.016 OD Wire - 3 Foot Length","Wire Bar","3 FT","304","0.016","0.016","0.0158","0.0162","0.06753636","14","8:11;34:8.75","simple","1","","","",""
